OBS TIME CONC
1 10 8.3659294172565
2 20 6.85261027142648
3 30 6.02641828030805
4 40 5.45927922600583
5 50 5.7824626779864
6 60 5.62896999944582
7 70 5.43696173445066
8 80 4.83027390190789
9 90 4.25529741832971
10 100 3.90756915385688
11 110 3.53931140235745
12 120 3.51449447854697
13 130 3.84251878531626
14 140 9.07371230077877
15 150 14.0818074273337
16 160 11.940539776655
17 170 11.9412552300663
18 180 9.6073571269314
19 190 8.90678947172773
20 200 7.19884695308244
21 210 7.74511923381837
22 220 5.97845179451192
23 230 5.61601122794602
24 240 5.23562891876382
25 250 4.91172501022744
26 260 4.53741088450895
27 270 4.29781117485406
28 280 3.39107889875245
29 290 6.23584785172145
30 300 10.1122910549677
31 310 10.2237808010929
32 320 7.60526813368034
33 330 8.30162284312703
34 340 7.55577524213505
35 350 6.08041435906563
36 360 6.07465511209157
37 370 5.10940967387822
38 380 5.03593922960612
39 390 5.09850041495356
40 400 7.57110507243904
41 410 8.0713501460683
42 420 8.14660438609202
43 430 7.15447319722844
44 440 6.42147622180935
45 450 5.91138177447696
46 460 5.40384296498706
47 470 5.41048544954694
48 480 4.43702402554917
49 490 4.7626373213391
50 500 3.90782523595753
51 510 3.72371742595611
52 520 3.69744188063608
53 530 3.26202745546571
54 540 3.28655096399329
55 550 3.37855541926713
56 560 3.3937701703242
57 570 2.99774722850683
58 580 3.01030444017925
59 590 2.7157417682439
60 600 2.35997581280495
61 610 2.53009802220043
62 620 2.77923279941762
63 630 2.87171709922876
64 640 2.97632903323662
65 650 6.61962229593109
66 660 18.5686551918416
67 670 16.1701142159575
68 680 15.4681948875052
69 690 11.7566673228512
70 700 12.6364905937976
71 710 9.61618127215282
72 720 10.1618383826356
73 730 8.73293675169558
74 740 7.08534001442421
75 750 5.9267925137663
76 760 5.61378711937913
77 770 5.53268159488144
78 780 7.3976482382339
79 790 15.0324587879959
80 800 19.1971259957957
81 810 15.7710028326981
82 820 14.3663114002575
83 830 13.3214136946194
84 840 11.3473459007577
85 850 11.3442433137918
86 860 8.93696435291414
87 870 7.63912271156818
88 880 6.44638836319281
89 890 7.24780892933466
90 900 6.0673115900948
91 910 5.89292398732421
92 920 7.66221124224146
93 930 7.7117050797229
94 940 7.69681786420595
95 950 6.04938966231947
96 960 5.65873358556164
97 970 5.55377923720761
98 980 5.15793538430618
99 990 4.46774833295662
100 1000 4.02679934156182
101 1010 4.50549888087645
102 1020 4.30541757331506
103 1030 3.9785828362782
104 1040 3.36004698897453
105 1050 3.23821737643868
106 1060 3.20404275515316
107 1070 2.86574792746219
108 1080 3.44159081608981
109 1090 2.87455917502408
110 1100 2.72772793398373
111 1110 2.61161947365035
112 1120 2.72522911924381
113 1130 2.40588709899205
114 1140 2.36120333905757
115 1150 2.88022020670444
116 1160 11.085904921767
117 1170 8.94141649746176
118 1180 8.08216172516506
119 1190 7.92619718435554
120 1200 7.03299969035814
121 1210 7.12292998369262
122 1220 6.02779791257298
123 1230 6.00594142792848
124 1240 5.32229592341627
125 1250 5.14559611665251
126 1260 4.78228082303286
127 1270 3.93446541266719
128 1280 3.69476287797707
129 1290 3.9279356384104
130 1300 2.95971208744503
131 1310 3.19257368199377
132 1320 3.16597652494402
133 1330 3.37891819349831
134 1340 5.53721395613081
135 1350 6.33548370118606
136 1360 5.06073891968984
137 1370 4.2021638461726
138 1380 4.31169100651717
139 1390 4.49663374452007
140 1400 5.20659159964532
141 1410 9.2986629161477
142 1420 10.8098632367534
143 1430 10.7114133577771
144 1440 8.46199368915424
