OBS TIME CONC
1 10 2.64701675375985
2 20 2.44418401458851
3 30 2.86613682651968
4 40 2.72097180157995
5 50 2.50620277864699
6 60 2.45716967199719
7 70 2.1656033567722
8 80 2.43097079166765
9 90 2.58183063024907
10 100 2.52630471345811
11 110 2.64013971346261
12 120 2.59660619919292
13 130 2.64324064533808
14 140 2.28546483223627
15 150 2.46059064045891
16 160 2.42779470693323
17 170 2.2094721294186
18 180 2.32503302067677
19 190 2.30428619781146
20 200 3.19323262052413
21 210 2.86839666145536
22 220 2.89899744983546
23 230 2.65535793034401
24 240 2.52249341694272
25 250 2.31463067249747
26 260 2.40235830230301
27 270 2.44669596713999
28 280 2.56269289918439
29 290 2.09444082913575
30 300 2.2357192080573
31 310 1.76981225057149
32 320 1.92131354137301
33 330 1.97023178063018
34 340 2.28185701125039
35 350 3.96929106383727
36 360 3.43547714271893
37 370 3.48361324856095
38 380 3.12676509668784
39 390 3.34519773805626
40 400 2.97576047292531
41 410 2.56306255625779
42 420 2.72219867595212
43 430 2.50566848119973
44 440 2.27331539376723
45 450 2.68282803213242
46 460 3.17262227930652
47 470 4.06599021141218
48 480 4.6314171719389
49 490 3.43382015746048
50 500 2.77073599224608
51 510 3.18303726874609
52 520 3.18471754120928
53 530 2.53670361462374
54 540 2.77058568793833
55 550 2.5284606342618
56 560 2.5063520920542
57 570 2.30913975267448
58 580 2.22302287344258
59 590 2.25098783993311
60 600 2.05385563443445
61 610 2.21557851330386
62 620 2.56704534307265
63 630 3.94342963270234
64 640 4.39895228761455
65 650 4.50856121760582
66 660 4.0580449860348
67 670 3.49196088772494
68 680 2.81618872874316
69 690 2.76717705575219
70 700 3.04316568690971
71 710 2.41048402830353
72 720 2.48543825230255
73 730 2.43559075882962
74 740 2.51941404493887
75 750 2.9660087301609
76 760 2.95019329003955
77 770 2.79200961981052
78 780 3.00719977944709
79 790 2.66885484658416
80 800 2.93065788723991
81 810 2.59062293653525
82 820 2.14047084085058
83 830 2.29702396437406
84 840 2.14978963688849
85 850 2.50322226189296
86 860 2.26856346524113
87 870 2.13086564629524
88 880 2.16326679146572
89 890 2.07282500235911
90 900 1.97614055464617
91 910 2.38393656828818
92 920 2.31446178890445
93 930 3.34266989337402
94 940 3.43239031339694
95 950 3.08133222905401
96 960 2.54073844117162
97 970 2.69897127239373
98 980 2.64466689886752
99 990 2.83244074420028
100 1000 2.23187163025114
101 1010 2.39564124118179
102 1020 2.44714502646705
103 1030 3.98437083717562
104 1040 4.02113159241043
105 1050 3.66962802163071
106 1060 3.25886267711186
107 1070 3.28979884085186
108 1080 2.68809189386705
109 1090 2.79119171664548
110 1100 2.90101558456439
111 1110 2.63430955873569
112 1120 2.55460467689136
113 1130 2.85181135537918
114 1140 2.07498516789302
115 1150 2.39764051183249
116 1160 2.19945853533234
117 1170 2.01207034561444
118 1180 2.11060945399763
119 1190 2.11552228911978
120 1200 2.13774549586728
121 1210 1.91227850472791
122 1220 2.63252277798006
123 1230 3.88943038525207
124 1240 3.1770423716578
125 1250 2.77896919350908
126 1260 2.92678965577055
127 1270 2.77979237451472
128 1280 2.64013450924038
129 1290 2.2926526595146
130 1300 2.36365092714797
131 1310 2.54790737048559
132 1320 2.08712041676458
133 1330 2.23810827059702
134 1340 2.13150189212589
135 1350 2.08553923639606
136 1360 1.92309183005361
137 1370 2.2558007857004
138 1380 1.82912912998865
139 1390 2.06719488985609
140 1400 2.32438790895229
141 1410 6.09512260670142
142 1420 6.40364408484155
143 1430 5.55685504107436
144 1440 4.64363064390277
