OBS TIME CONC
1 10 7.76348998505956
2 20 6.93507750077898
3 30 5.87569058319872
4 40 6.70531038056604
5 50 12.3146455095918
6 60 14.3862172187607
7 70 12.8316788449254
8 80 12.1321242679345
9 90 10.6570541055824
10 100 10.5463355096681
11 110 15.6218508345344
12 120 16.0034211803499
13 130 15.5916552378044
14 140 14.3717014799944
15 150 12.6136023576879
16 160 11.9497413304225
17 170 9.69601299539082
18 180 8.90660493052197
19 190 8.1249104442711
20 200 6.89663759972037
21 210 6.52455942157658
22 220 6.1088417927659
23 230 4.64728031585591
24 240 4.65913104180963
25 250 4.146626894645
26 260 4.33238516475701
27 270 5.01170364238408
28 280 5.22766998333256
29 290 5.47099758342571
30 300 4.94042097155361
31 310 4.97327024412418
32 320 6.38878317637535
33 330 8.27027714013844
34 340 7.9067439822339
35 350 8.20083567744657
36 360 6.67727040571485
37 370 5.81222099816881
38 380 5.35227946072168
39 390 5.33751623934985
40 400 7.24144780737051
41 410 10.0978969119163
42 420 8.55364473286195
43 430 8.57487503437477
44 440 8.47188362940996
45 450 6.87316294699557
46 460 5.90662395229407
47 470 5.79483847676244
48 480 6.13494331620429
49 490 4.88399668570203
50 500 4.99641136025681
51 510 4.20998968493128
52 520 3.47754513032049
53 530 4.00377293746802
54 540 5.7011149850046
55 550 5.81275418888516
56 560 4.81651349866877
57 570 4.38276320980932
58 580 4.12943383475317
59 590 3.76790369834333
60 600 3.94767031639934
61 610 3.59402318017418
62 620 3.69307198978283
63 630 4.26186754115155
64 640 4.33479475896323
65 650 4.68546362645138
66 660 5.4499152777593
67 670 4.50676714678334
68 680 4.49840253275117
69 690 3.75057691298551
70 700 3.60421004892729
71 710 3.81616420286828
72 720 3.46803372717165
73 730 3.39844975822539
74 740 3.39675345839934
75 750 3.05763953146106
76 760 3.00519143145594
77 770 2.95118958393615
78 780 2.81630443298244
79 790 2.90312812928754
80 800 2.728076640293
81 810 2.46773825490876
82 820 2.87704486473343
83 830 2.55062337485356
84 840 2.45614328871216
85 850 3.75775913765386
86 860 6.59721405493765
87 870 8.09391555351159
88 880 7.09635825897488
89 890 7.17784308125209
90 900 6.49763658514187
91 910 5.9963056308023
92 920 5.38487943031933
93 930 5.25768094598893
94 940 4.7086892827305
95 950 4.82902758112499
96 960 4.06616836020491
97 970 3.962423029356
98 980 6.93930271721205
99 990 6.00655235627125
100 1000 5.93450546869701
101 1010 5.45160386998422
102 1020 5.25977450100904
103 1030 4.34127162992951
104 1040 3.82173327355871
105 1050 3.57215749392483
106 1060 4.0889800080292
107 1070 5.3965346506022
108 1080 6.8739931616811
109 1090 6.02550196782299
110 1100 5.86521401134361
111 1110 6.03062018365876
112 1120 5.39017798894764
113 1130 5.27982289961859
114 1140 4.49899202708674
115 1150 4.43891823843701
116 1160 3.70652819124601
117 1170 3.54457681455316
118 1180 3.91059184345957
119 1190 3.63075541566978
120 1200 3.00528199911706
121 1210 3.01748110665328
122 1220 3.37389798684639
123 1230 2.99216163090793
124 1240 2.94485595945987
125 1250 2.65025096021421
126 1260 2.75674768472912
127 1270 3.45451063062676
128 1280 5.9357524257689
129 1290 5.03400790920116
130 1300 4.78021192523347
131 1310 4.97836605808068
132 1320 4.66718881712077
133 1330 5.05586378404877
134 1340 5.44255656364568
135 1350 4.42316348642002
136 1360 4.38888845072467
137 1370 4.43427877067707
138 1380 3.74616081161833
139 1390 3.78274531498309
140 1400 3.60237039024115
141 1410 3.9896719023882
142 1420 2.92116161853119
143 1430 2.95844453819681
144 1440 2.66347040396868
