OBS TIME CONC
1 10 5.99843830169133
2 20 4.83698047581896
3 30 4.97563897353079
4 40 4.74704125667513
5 50 4.74730771827568
6 60 4.55012676213898
7 70 3.54247166455255
8 80 3.34399090411529
9 90 5.98129414315103
10 100 10.9156661289698
11 110 9.97720773684314
12 120 8.99357068749078
13 130 6.96688014839729
14 140 7.51329612467428
15 150 5.9303980514784
16 160 6.5716622444927
17 170 4.65350668484312
18 180 6.35676616641898
19 190 6.67173361144063
20 200 6.11509884671479
21 210 5.11649988630761
22 220 5.43262577895302
23 230 4.15199614468367
24 240 4.77957686037596
25 250 4.66713182768668
26 260 3.63660063513253
27 270 3.87318753828356
28 280 3.5761262585477
29 290 3.44963574255142
30 300 3.28248587062175
31 310 3.19867317510855
32 320 3.2286734290776
33 330 4.19121749892032
34 340 5.92668698799509
35 350 5.59314326038371
36 360 5.12158768371066
37 370 4.72022270425748
38 380 5.16772180659281
39 390 4.3580489862295
40 400 4.087926898917
41 410 3.710529817356
42 420 6.31332873848252
43 430 8.03930211604486
44 440 7.84136561632234
45 450 5.71235586136855
46 460 6.53292807526646
47 470 6.05457912158695
48 480 4.82368408406882
49 490 4.62375603580765
50 500 4.2754835939144
51 510 3.71177430517409
52 520 4.15877712533674
53 530 3.39082183960254
54 540 3.55084281559756
55 550 3.84659680367447
56 560 3.09633421258784
57 570 3.36095893491687
58 580 3.04044111911549
59 590 3.36341805424339
60 600 2.71644766109021
61 610 2.75419686874922
62 620 3.02129654961805
63 630 4.92945321325698
64 640 13.7840026987415
65 650 9.95734538088725
66 660 9.23772710471946
67 670 9.9803316451042
68 680 8.22379292938358
69 690 7.92081070336918
70 700 7.65272000496951
71 710 6.34238335768032
72 720 11.7380387449619
73 730 13.3196358497234
74 740 12.4430671265703
75 750 9.6625432802943
76 760 8.61090494432688
77 770 8.28954969573159
78 780 6.92352227255327
79 790 6.29212953450302
80 800 17.0673125652906
81 810 15.8624208129275
82 820 12.8416348886934
83 830 12.6236507408949
84 840 10.8861378892073
85 850 9.03792662911384
86 860 8.45645483955177
87 870 6.78076018395194
88 880 7.34212863573622
89 890 5.70786766311404
90 900 5.56458017056163
91 910 5.24173296703507
92 920 4.50107254962226
93 930 5.31919062564723
94 940 4.16830307554307
95 950 3.96792030601673
96 960 3.89293899422515
97 970 3.59667513835117
98 980 2.92004904963732
99 990 3.32225753066716
100 1000 3.45730813081493
101 1010 3.60644671230773
102 1020 5.98750449187567
103 1030 5.3413221254578
104 1040 5.20469489818901
105 1050 4.75734319600439
106 1060 4.14736661957573
107 1070 4.50168879286354
108 1080 8.37363178797629
109 1090 8.93315947303955
110 1100 7.65799878712604
111 1110 8.00085187157773
112 1120 6.27687135147399
113 1130 5.95512515453019
114 1140 5.08809219497704
115 1150 6.52818924572182
116 1160 7.7690257159392
117 1170 7.68081987027681
118 1180 6.72691877799345
119 1190 6.69758148613656
120 1200 6.4036240247586
121 1210 4.9913196602457
122 1220 4.59542664761632
123 1230 4.35674524308004
124 1240 4.0838341234542
125 1250 5.8223859078414
126 1260 7.94675761756722
127 1270 7.5802601754441
128 1280 6.61238254416148
129 1290 6.15614946100226
130 1300 6.59087517365275
131 1310 6.92989432273879
132 1320 5.45161331595419
133 1330 5.69839915321757
134 1340 4.83955579544952
135 1350 4.50610222890308
136 1360 4.12776013997336
137 1370 3.89358227826745
138 1380 4.02438564794585
139 1390 4.85116205441284
140 1400 11.7454639247697
141 1410 9.96907733689065
142 1420 8.79055342068416
143 1430 7.34708855907989
144 1440 6.91597435075473
